Ano,CodAno,Modelo,CodModelo,Marca,CodMarca
2014 Gasolina,2014-1,A1 1.4 TFSI 122CV S-TRONIC 3P,5496,AUDI,6
2013 Gasolina,2013-1,A1 1.4 TFSI 122CV S-TRONIC 3P,5496,AUDI,6
2012 Gasolina,2012-1,A1 1.4 TFSI 122CV S-TRONIC 3P,5496,AUDI,6
2011 Gasolina,2011-1,A1 1.4 TFSI 122CV S-TRONIC 3P,5496,AUDI,6
2018 Gasolina,2018-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2017 Gasolina,2017-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2016 Gasolina,2016-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2015 Gasolina,2015-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2014 Gasolina,2014-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2013 Gasolina,2013-1,A1 SPORTBACK 1.4 TFSI 5P S-TRONIC,6200,AUDI,6
2006 Gasolina,2006-1,A3 1.6 5P,54,AUDI,6
2005 Gasolina,2005-1,A3 1.6 5P,54,AUDI,6
2004 Gasolina,2004-1,A3 1.6 5P,54,AUDI,6
2003 Gasolina,2003-1,A3 1.6 5P,54,AUDI,6
2002 Gasolina,2002-1,A3 1.6 5P,54,AUDI,6
2001 Gasolina,2001-1,A3 1.6 5P,54,AUDI,6
2000 Gasolina,2000-1,A3 1.6 5P,54,AUDI,6
1999 Gasolina,1999-1,A3 1.6 5P,54,AUDI,6
2004 Gasolina,2004-1,A3 1.8 3P,56,AUDI,6
2003 Gasolina,2003-1,A3 1.8 3P,56,AUDI,6
2002 Gasolina,2002-1,A3 1.8 3P,56,AUDI,6
2001 Gasolina,2001-1,A3 1.8 3P,56,AUDI,6
2000 Gasolina,2000-1,A3 1.8 3P,56,AUDI,6
1999 Gasolina,1999-1,A3 1.8 3P,56,AUDI,6
1998 Gasolina,1998-1,A3 1.8 3P,56,AUDI,6
1997 Gasolina,1997-1,A3 1.8 3P,56,AUDI,6
2006 Gasolina,2006-1,A3 1.8 5P AUT.,58,AUDI,6
2005 Gasolina,2005-1,A3 1.8 5P AUT.,58,AUDI,6
2004 Gasolina,2004-1,A3 1.8 5P AUT.,58,AUDI,6
2003 Gasolina,2003-1,A3 1.8 5P AUT.,58,AUDI,6
2002 Gasolina,2002-1,A3 1.8 5P AUT.,58,AUDI,6
2001 Gasolina,2001-1,A3 1.8 5P AUT.,58,AUDI,6
2000 Gasolina,2000-1,A3 1.8 5P AUT.,58,AUDI,6
1999 Gasolina,1999-1,A3 1.8 5P AUT.,58,AUDI,6
1998 Gasolina,1998-1,A3 1.8 5P AUT.,58,AUDI,6
1997 Gasolina,1997-1,A3 1.8 5P AUT.,58,AUDI,6
2021 Gasolina,2021-1,A3 SED. P. PLUS TECH 1.4 FLEX TFSI TIP.,8945,AUDI,6
2020 Gasolina,2020-1,A3 SED. P. PLUS TECH 1.4 FLEX TFSI TIP.,8945,AUDI,6
2018 Gasolina,2018-1,A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,7391,AUDI,6
2017 Gasolina,2017-1,A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,7391,AUDI,6
2016 Gasolina,2016-1,A3 SEDAN 1.4 TFSI FLEX TIPTRONIC 4P,7391,AUDI,6
2016 Gasolina,2016-1,A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,6768,AUDI,6
2015 Gasolina,2015-1,A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,6768,AUDI,6
2014 Gasolina,2014-1,A3 SEDAN 1.4/ ATTRA. 16V TB FSI S-TRONIC,6768,AUDI,6
32000 Gasolina,32000-1,A3 SEDAN S-LINE 2.0 TFSI  S-TRONIC,9686,AUDI,6
2022 Gasolina,2022-1,A3 SEDAN S-LINE 2.0 TFSI  S-TRONIC,9686,AUDI,6
1997 Gasolina,1997-1,A4 2.8,85,AUDI,6
1996 Gasolina,1996-1,A4 2.8,85,AUDI,6
1995 Gasolina,1995-1,A4 2.8,85,AUDI,6
2017 Gasolina,2017-1,A4 LAUNCH EDITION 2.0 TFSI 190CV S TRONI,7537,AUDI,6
2016 Gasolina,2016-1,A4 LAUNCH EDITION 2.0 TFSI 190CV S TRONI,7537,AUDI,6
2014 Gasolina,2014-1,A5 SPORTBACK 2.0 16V TFSI 180CV MULTI.,6043,AUDI,6
2013 Gasolina,2013-1,A5 SPORTBACK 2.0 16V TFSI 180CV MULTI.,6043,AUDI,6
2012 Gasolina,2012-1,A5 SPORTBACK 2.0 16V TFSI 180CV MULTI.,6043,AUDI,6
2011 Gasolina,2011-1,A5 SPORTBACK 2.0 16V TFSI 211CV MULTI.,5234,AUDI,6
2010 Gasolina,2010-1,A5 SPORTBACK 2.0 16V TFSI 211CV MULTI.,5234,AUDI,6
1997 Gasolina,1997-1,A6 2.8,112,AUDI,6
1996 Gasolina,1996-1,A6 2.8,112,AUDI,6
1995 Gasolina,1995-1,A6 2.8,112,AUDI,6
1995 Gasolina,1995-1,AVANT RS2,129,AUDI,6
32000 Gasolina,32000-1,E-TRON S SPORTBACK QUAT. AUT. (ELÉTRICO),9605,AUDI,6
2022 Gasolina,2022-1,E-TRON S SPORTBACK QUAT. AUT. (ELÉTRICO),9605,AUDI,6
2019 Gasolina,2019-1,Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,7255,AUDI,6
2018 Gasolina,2018-1,Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,7255,AUDI,6
2017 Gasolina,2017-1,Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,7255,AUDI,6
2016 Gasolina,2016-1,Q3 1.4 TFSI/TFSI FLEX S-TRONIC 5P,7255,AUDI,6
2018 Gasolina,2018-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2017 Gasolina,2017-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2016 Gasolina,2016-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2015 Gasolina,2015-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2014 Gasolina,2014-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2013 Gasolina,2013-1,Q3 2.0 TFSI QUAT. 170/180CV S-TRONIC 5P,6044,AUDI,6
2018 Gasolina,2018-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
2017 Gasolina,2017-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
2016 Gasolina,2016-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
2015 Gasolina,2015-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
2014 Gasolina,2014-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
2013 Gasolina,2013-1,Q3 2.0 TFSI QUAT. 211/220CV S-TRONIC 5P,6045,AUDI,6
32000 Gasolina,32000-1,Q3 PREST. 1.4 TFSI FLEX/PREST. S-TRONIC,8568,AUDI,6
2022 Gasolina,2022-1,Q3 PREST. 1.4 TFSI FLEX/PREST. S-TRONIC,8568,AUDI,6
2021 Gasolina,2021-1,Q3 PREST. 1.4 TFSI FLEX/PREST. S-TRONIC,8568,AUDI,6
2020 Gasolina,2020-1,Q3 PREST. 1.4 TFSI FLEX/PREST. S-TRONIC,8568,AUDI,6
2019 Gasolina,2019-1,Q3 PREST. 1.4 TFSI FLEX/PREST. S-TRONIC,8568,AUDI,6
2016 Gasolina,2016-1,Q5 3.0 V6 TFSI 272CV QUATTRO TIPTRONIC,6486,AUDI,6
2015 Gasolina,2015-1,Q5 3.0 V6 TFSI 272CV QUATTRO TIPTRONIC,6486,AUDI,6
2014 Gasolina,2014-1,Q5 3.0 V6 TFSI 272CV QUATTRO TIPTRONIC,6486,AUDI,6
2013 Gasolina,2013-1,Q5 3.0 V6 TFSI 272CV QUATTRO TIPTRONIC,6486,AUDI,6
32000 Gasolina,32000-1,Q8 PERF.BLACK 3.0 TFSI QUATTRO S-TRONIC,9290,AUDI,6
2022 Gasolina,2022-1,Q8 PERF.BLACK 3.0 TFSI QUATTRO S-TRONIC,9290,AUDI,6
2021 Gasolina,2021-1,Q8 PERF.BLACK 3.0 TFSI QUATTRO S-TRONIC,9290,AUDI,6
2020 Gasolina,2020-1,Q8 PERF.BLACK 3.0 TFSI QUATTRO S-TRONIC,9290,AUDI,6
2019 Gasolina,2019-1,Q8 PERF.BLACK 3.0 TFSI QUATTRO S-TRONIC,9290,AUDI,6
2018 Gasolina,2018-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2017 Gasolina,2017-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2016 Gasolina,2016-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2015 Gasolina,2015-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
2014 Gasolina,2014-1,TT 2.0 16V TFSI S-TRONIC,4330,AUDI,6
