Km,FinalDePlaca,UnicoDono,AceitaTrocas,ArCondicionado,AirBag,Alarme,TravaEletrica,VidroEletrico,Som,SensorDeRe,CameraDeRe,Blindado,KmPorDias,NumOpcionais,KmSqrt,PotenciaNum,PrecoFipe,DifMarca,DifTipo,DifAno,DifPotencia,DifNumOpcionais,DifCombustivel,DifDirecao,DifUF,PrecoFipeLog,PrecoFipeAjustado,KmSqrtPorDias,UF_AC,UF_AL,UF_AM,UF_AP,UF_BA,UF_CE,UF_DF,UF_ES,UF_GO,UF_MA,UF_MG,UF_MS,UF_MT,UF_PA,UF_PB,UF_PE,UF_PI,UF_PR,UF_RJ,UF_RN,UF_RO,UF_RR,UF_RS,UF_SC,UF_SE,UF_SP,UF_TO,Combustivel_Diesel,Combustivel_Elétrico,Combustivel_Flex,Combustivel_Gasolina,Combustivel_Gás Natural,Combustivel_Híbrido,Combustivel_Álcool,Cambio_Automático,Cambio_Manual,Cambio_Semi-Automático,Direcao_Assistida,Direcao_Elétrica,Direcao_Hidráulica,Direcao_Mecânica,Cor_Amarelo,Cor_Azul,Cor_Branco,Cor_Cinza,Cor_Laranja,Cor_Outra,Cor_Prata,Cor_Preto,Cor_Verde,Cor_Vermelho,Preco
77200,9,0,1,1,0,0,0,0,0,0,0,0,26.39316239316239,1,277.8488797889961,1.0,32621.0,0.014693137444062499,0.022530528391223943,0.029584207835046596,0.02078628785207525,0.02038860163289876,0.016763120556773172,0.021329956439484217,0.00826309264388416,10.392711531744357,37655.69032672032,0.094991070013332,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,35000.0
266000,3,0,1,1,1,1,1,1,0,1,0,0,66.15269833374782,6,515.7518783291051,3.5,111311.0,0.025139650285062865,0.02583092052391679,0.0422714023878512,0.024447925456725077,0.016419571121664762,0.019795163925504306,0.021329956439484217,0.03946487724408766,11.620083364365701,135209.4124140135,0.12826458053447032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112000.0
95000,8,1,1,0,0,0,0,0,0,0,0,0,64.89071038251366,0,308.2207001484488,2.5,153509.0,0.034010281079366295,0.02583092052391679,-0.0006634583716160348,0.01868879039576767,0.03773591358024618,0.019795163925504306,0.013335020810247232,-0.020397386679461203,11.94151447621243,173209.615165227,0.21053326512872186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,154885.0
259000,7,0,1,1,1,1,1,1,1,0,1,0,70.86183310533515,7,508.9204259999789,2.5,125812.0,0.014693137444062499,0.02583092052391679,0.023771172464587306,0.01868879039576767,0.008845537660484189,0.019795163925504306,0.021329956439484217,0.03946487724408766,11.742544008206341,147504.44919178833,0.1392395146374771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136800.0
149791,0,0,1,1,1,1,1,1,1,1,0,0,31.528309829509578,7,387.028422728874,2.5,49828.0,0.019293685283058578,0.010804681689887368,0.011858245069609684,0.01868879039576767,0.008845537660484189,0.01985003464680027,0.021329956439484217,0.03946487724408766,10.816332354005983,57308.96706240917,0.08146251793914418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,57900.0
98000,1,0,1,1,0,1,1,1,1,0,0,0,22.343821249430004,5,313.04951684997053,1.0,26338.0,0.034010281079366295,0.014503026935153311,0.04890780115114591,0.02078628785207525,0.02547701996235689,0.016763120556773172,0.021329956439484217,-0.020397386679461203,10.178768042270166,30588.429265985593,0.07137471884404253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27990.0
36000,5,1,1,1,1,1,1,1,1,1,1,0,19.682886823400764,8,189.73665961010275,2.5,142970.0,0.014241242552075076,0.010804681689887368,0.010155694445523743,0.01868879039576767,0.006772306931705351,0.016763120556773172,0.021329956439484217,0.00826309264388416,11.87039009702321,158270.49008210978,0.10373792214877132,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,144900.0
124500,5,0,1,1,0,1,1,1,1,0,0,0,37.8419452887538,5,352.845575287547,1.0,31669.0,0.022954087102731346,0.018920821941910963,0.004448098852165955,0.02078628785207525,0.02547701996235689,0.016763120556773172,0.021329956439484217,0.026376561889529554,10.363093563410546,36642.80502613326,0.10724789522417841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33990.0
80000,5,0,1,1,1,1,1,1,1,1,1,0,24.316109422492403,8,282.842712474619,2.5,122524.0,0.017677166281148602,0.018920821941910963,0.004448098852165955,0.01868879039576767,0.006772306931705351,0.01985003464680027,0.013335020810247232,0.026376561889529554,11.716062208144768,137970.45386552825,0.0859704293235924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,112000.0
11907,5,1,1,1,1,1,1,1,0,0,0,0,16.244201909959074,5,109.11920087683929,1.0,93769.0,0.017677166281148602,0.022530528391223943,0.005491513144984827,0.02078628785207525,0.02547701996235689,0.016763120556773172,0.021329956439484217,0.017917217855219093,11.44858958996521,107644.26246620537,0.14886657691246832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,99980.0
