Modelo,CodModelo,Marca,CodMarca
Integra GS 1.8,1,ACURA,1
Legend 3.2/3.5,2,ACURA,1
NSX 3.0,3,ACURA,1
Integra GS 1.8,1,ACURA,1
Legend 3.2/3.5,2,ACURA,1
NSX 3.0,3,ACURA,1
MARRUÁ 2.8 12V 132cv TDI Diesel,4,AGRALE,2
MARRUÁ AM 100 2.8  CS TDI Diesel,4564,AGRALE,2
MARRUÁ AM 100 2.8 CD TDI Diesel,4563,AGRALE,2
MARRUÁ AM 150 2.8  CS TDI Diesel,4566,AGRALE,2
MARRUÁ AM 150 2.8 CD TDI Diesel,4565,AGRALE,2
MARRUÁ AM 200 2.8  CD TDI Diesel,4567,AGRALE,2
MARRUÁ AM 200 2.8 CS TDI Diesel,4568,AGRALE,2
MARRUÁ AM 200 Escolar 2.8 TDI Diesel,9352,AGRALE,2
MARRUÁ AM 200 Microbus 2.8 TDI Diesel,9353,AGRALE,2
MARRUÁ AM 50 2.8 140cv TDI Diesel,4569,AGRALE,2
145 Elegant 1.7/1.8 16V,5,ALFA ROMEO,3
145 Elegant 2.0 16V,6,ALFA ROMEO,3
145 Quadrifoglio 2.0,7,ALFA ROMEO,3
145 QV,8,ALFA ROMEO,3
147 2.0 16V 148cv 4p Semi-Aut.,9,ALFA ROMEO,3
155,10,ALFA ROMEO,3
155 Super,11,ALFA ROMEO,3
156 2.5 V6 24V 190cv 4p Aut.,12,ALFA ROMEO,3
156 Sport Wagon 2.0 16V,13,ALFA ROMEO,3
156 Sport Wagon 2.5 V6 24V 4p Aut.,14,ALFA ROMEO,3
156 TS/Sport/Elegant 2.0 16V,15,ALFA ROMEO,3
164 3.0 V6,16,ALFA ROMEO,3
164 Super V6 24V,17,ALFA ROMEO,3
166 3.0 V6 24V,18,ALFA ROMEO,3
2300 TI/TI-4,19,ALFA ROMEO,3
Spider 2.0/3.0,20,ALFA ROMEO,3
Hummer Hard-Top 6.5 4x4 Diesel TB,21,AM GEN,4
Hummer Open-Top 6.5 4x4 Diesel TB,22,AM GEN,4
