CodMarca,CodModelo,CodAno,PrecoFipe,ChaveFipe
29,7760,2017-3,"R$ 139.372,00",29 7760 2017-3
59,2553,2014-1,"R$ 44.834,00",59 2553 2014-1
56,7562,2019-1,"R$ 67.839,00",56 7562 2019-1
59,8068,2021-1,"R$ 91.709,00",59 8068 2021-1
26,8240,2019-1,"R$ 78.837,00",26 8240 2019-1
59,3961,2006-2,"R$ 26.847,00",59 3961 2006-2
22,7686,2017-1,"R$ 64.594,00",22 7686 2017-1
161,9749,2023-1,"R$ 149.599,00",161 9749 2023-1
59,4689,2012-1,"R$ 28.468,00",59 4689 2012-1
26,7154,2015-1,"R$ 47.187,00",26 7154 2015-1
21,8473,2022-3,"R$ 198.353,00",21 8473 2022-3
23,6175,2019-1,"R$ 69.013,00",23 6175 2019-1
29,8058,2018-1,"R$ 88.972,00",29 8058 2018-1
25,1271,2001-1,"R$ 24.837,00",25 1271 2001-1
22,9164,2021-1,"R$ 186.986,00",22 9164 2021-1
48,7991,2020-1,"R$ 94.103,00",48 7991 2020-1
56,5194,2021-1,"R$ 138.854,00",56 5194 2021-1
26,9113,2021-1,"R$ 99.761,00",26 9113 2021-1
56,7407,2022-3,"R$ 314.854,00",56 7407 2022-3
22,6170,2015-3,"R$ 136.594,00",22 6170 2015-3
23,9045,2021-1,"R$ 125.293,00",23 9045 2021-1
56,7406,2017-3,"R$ 205.795,00",56 7406 2017-3
23,6175,2016-1,"R$ 52.930,00",23 6175 2016-1
59,7637,2017-1,"R$ 54.813,00",59 7637 2017-1
59,4689,2013-1,"R$ 32.483,00",59 4689 2013-1
147,7342,2019-1,"R$ 41.369,00",147 7342 2019-1
22,8316,2021-3,"R$ 189.550,00",22 8316 2021-3
25,6781,2019-1,"R$ 85.499,00",25 6781 2019-1
22,5741,2012-1,"R$ 64.380,00",22 5741 2012-1
43,8754,2020-1,"R$ 201.890,00",43 8754 2020-1
29,7759,2021-1,"R$ 145.134,00",29 7759 2021-1
29,7760,2021-3,"R$ 186.381,00",29 7760 2021-3
22,6171,2023-3,"R$ 263.612,00",22 6171 2023-3
33,7796,2019-3,"R$ 258.334,00",33 7796 2019-3
48,9255,2021-1,"R$ 65.341,00",48 9255 2021-1
59,6941,2021-1,"R$ 98.070,00",59 6941 2021-1
59,9151,2021-1,"R$ 126.175,00",59 9151 2021-1
39,1646,2012-1,"R$ 197.606,00",39 1646 2012-1
25,7900,2020-1,"R$ 103.456,00",25 7900 2020-1
29,7758,2018-1,"R$ 126.070,00",29 7758 2018-1
21,7971,2020-1,"R$ 73.717,00",21 7971 2020-1
21,9110,2021-1,"R$ 92.551,00",21 9110 2021-1
44,6398,2021-1,"R$ 94.244,00",44 6398 2021-1
22,6917,2017-1,"R$ 47.996,00",22 6917 2017-1
48,8023,2021-1,"R$ 50.744,00",48 8023 2021-1
43,8754,2022-1,"R$ 286.533,00",43 8754 2022-1
41,4478,2008-3,"R$ 85.380,00",41 4478 2008-3
177,6272,2013-1,"R$ 22.483,00",177 6272 2013-1
29,8039,2019-3,"R$ 176.089,00",29 8039 2019-3
21,9494,2022-1,"R$ 143.004,00",21 9494 2022-1
22,8006,2021-1,"R$ 85.055,00",22 8006 2021-1
13,8045,2017-1,"R$ 59.029,00",13 8045 2017-1
26,6436,2014-1,"R$ 50.889,00",26 6436 2014-1
59,8323,2023-1,"R$ 70.912,00",59 8323 2023-1
23,8894,2020-1,"R$ 88.249,00",23 8894 2020-1
161,8339,2022-1,"R$ 89.775,00",161 8339 2022-1
23,7618,2019-1,"R$ 100.521,00",23 7618 2019-1
21,9111,2022-1,"R$ 106.046,00",21 9111 2022-1
23,8885,2023-1,"R$ 159.003,00",23 8885 2023-1
21,504,1985-1,"R$ 3.305,00",21 504 1985-1
43,8637,2021-1,"R$ 109.670,00",43 8637 2021-1
59,9531,2022-1,"R$ 204.057,00",59 9531 2022-1
25,4975,2021-1,"R$ 94.405,00",25 4975 2021-1
33,8096,2019-1,"R$ 487.784,00",33 8096 2019-1
31,5418,2013-1,"R$ 79.076,00",31 5418 2013-1
21,8200,2020-1,"R$ 70.129,00",21 8200 2020-1
28,8901,2021-1,"R$ 743.807,00",28 8901 2021-1
22,6171,2022-3,"R$ 253.255,00",22 6171 2022-3
44,9542,2022-1,"R$ 238.574,00",44 9542 2022-1
26,6434,2014-1,"R$ 48.052,00",26 6434 2014-1
44,1891,1998-1,"R$ 6.598,00",44 1891 1998-1
56,9216,2021-1,"R$ 91.716,00",56 9216 2021-1
26,8951,2020-1,"R$ 86.885,00",26 8951 2020-1
21,5925,2014-1,"R$ 39.483,00",21 5925 2014-1
22,6171,2021-3,"R$ 232.392,00",22 6171 2021-3
21,7540,2019-1,"R$ 46.685,00",21 7540 2019-1
33,8086,2018-1,"R$ 405.185,00",33 8086 2018-1
21,603,2012-1,"R$ 34.280,00",21 603 2012-1
59,8642,2020-1,"R$ 104.950,00",59 8642 2020-1
25,7694,2020-1,"R$ 121.165,00",25 7694 2020-1
21,9723,2022-1,"R$ 114.032,00",21 9723 2022-1
26,7859,2022-1,"R$ 138.403,00",26 7859 2022-1
23,8988,2023-1,"R$ 72.764,00",23 8988 2023-1
59,2528,2003-1,"R$ 22.328,00",59 2528 2003-1
59,8641,2021-1,"R$ 114.706,00",59 8641 2021-1
56,2285,2005-1,"R$ 34.595,00",56 2285 2005-1
25,7900,2018-1,"R$ 87.673,00",25 7900 2018-1
56,2244,1999-3,"R$ 35.934,00",56 2244 1999-3
21,7540,2021-1,"R$ 54.290,00",21 7540 2021-1
26,8858,2021-1,"R$ 70.583,00",26 8858 2021-1
25,4971,2022-1,"R$ 107.760,00",25 4971 2022-1
23,6174,2018-1,"R$ 63.259,00",23 6174 2018-1
57,6933,2017-3,"R$ 176.783,00",57 6933 2017-3
21,8315,2022-1,"R$ 68.982,00",21 8315 2022-1
48,4988,2010-1,"R$ 24.031,00",48 4988 2010-1
56,5194,2017-1,"R$ 93.040,00",56 5194 2017-1
21,8518,2020-1,"R$ 77.659,00",21 8518 2020-1
25,1277,2008-1,"R$ 31.654,00",25 1277 2008-1
48,4780,2013-1,"R$ 36.516,00",48 4780 2013-1
56,7559,2018-1,"R$ 65.152,00",56 7559 2018-1
26,8855,2021-1,"R$ 67.256,00",26 8855 2021-1
23,1002,2012-1,"R$ 27.252,00",23 1002 2012-1
29,5743,2015-1,"R$ 67.957,00",29 5743 2015-1
59,7494,2017-1,"R$ 82.501,00",59 7494 2017-1
7,225,1995-1,"R$ 45.964,00",7 225 1995-1
21,8315,2020-1,"R$ 58.625,00",21 8315 2020-1
25,4973,2021-1,"R$ 107.323,00",25 4973 2021-1
29,4200,2009-1,"R$ 67.699,00",29 4200 2009-1
44,5428,2022-1,"R$ 237.441,00",44 5428 2022-1
23,8988,2021-1,"R$ 68.031,00",23 8988 2021-1
21,5883,2016-1,"R$ 46.537,00",21 5883 2016-1
59,8644,2021-1,"R$ 141.506,00",59 8644 2021-1
21,5064,2011-1,"R$ 26.058,00",21 5064 2011-1
156,6543,2014-1,"R$ 136.399,00",156 6543 2014-1
59,3983,2008-1,"R$ 29.719,00",59 3983 2008-1
29,9165,2021-3,"R$ 152.229,00",29 9165 2021-3
21,7479,2022-3,"R$ 189.051,00",21 7479 2022-3
59,8325,2020-1,"R$ 56.169,00",59 8325 2020-1
29,7758,2021-1,"R$ 160.547,00",29 7758 2021-1
26,8051,2020-1,"R$ 103.555,00",26 8051 2020-1
29,9457,2022-1,"R$ 169.204,00",29 9457 2022-1
13,4302,2012-1,"R$ 26.652,00",13 4302 2012-1
59,8070,2021-1,"R$ 71.351,00",59 8070 2021-1
21,7825,2019-1,"R$ 47.628,00",21 7825 2019-1
41,8635,2021-3,"R$ 268.760,00",41 8635 2021-3
48,8023,2023-1,"R$ 58.941,00",48 8023 2023-1
26,1299,1998-1,"R$ 13.369,00",26 1299 1998-1
56,2213,2000-1,"R$ 19.227,00",56 2213 2000-1
22,806,2012-1,"R$ 37.652,00",22 806 2012-1
21,9649,2022-1,"R$ 124.793,00",21 9649 2022-1
59,2388,2003-1,"R$ 14.327,00",59 2388 2003-1
43,5691,2014-1,"R$ 37.458,00",43 5691 2014-1
23,8823,2021-1,"R$ 93.546,00",23 8823 2021-1
56,7564,2018-1,"R$ 60.083,00",56 7564 2018-1
48,5671,2014-1,"R$ 50.330,00",48 5671 2014-1
48,8794,2022-1,"R$ 65.190,00",48 8794 2022-1
23,7691,2019-1,"R$ 53.345,00",23 7691 2019-1
21,7733,2018-1,"R$ 56.848,00",21 7733 2018-1
21,7965,2022-1,"R$ 72.966,00",21 7965 2022-1
26,8521,2020-1,"R$ 96.984,00",26 8521 2020-1
26,9113,2022-1,"R$ 103.476,00",26 9113 2022-1
25,7153,2017-1,"R$ 89.126,00",25 7153 2017-1
26,9794,2022-1,"R$ 85.911,00",26 9794 2022-1
23,6533,2016-1,"R$ 57.114,00",23 6533 2016-1
21,9112,2022-1,"R$ 109.352,00",21 9112 2022-1
56,8365,2020-1,"R$ 97.155,00",56 8365 2020-1
43,7166,2020-1,"R$ 58.214,00",43 7166 2020-1
56,5194,2020-1,"R$ 133.750,00",56 5194 2020-1
23,8887,2020-1,"R$ 58.473,00",23 8887 2020-1
23,8949,2022-1,"R$ 74.926,00",23 8949 2022-1
41,9143,2023-3,"R$ 225.873,00",41 9143 2023-3
59,8642,2021-1,"R$ 114.320,00",59 8642 2021-1
56,8364,2019-1,"R$ 88.526,00",56 8364 2019-1
22,5741,2013-1,"R$ 71.943,00",22 5741 2013-1
59,2560,2005-1,"R$ 22.927,00",59 2560 2005-1
26,6352,2019-1,"R$ 79.182,00",26 6352 2019-1
56,2253,2001-3,"R$ 59.841,00",56 2253 2001-3
59,7410,2016-1,"R$ 49.296,00",59 7410 2016-1
23,8892,2020-1,"R$ 82.314,00",23 8892 2020-1
23,7691,2017-1,"R$ 48.018,00",23 7691 2017-1
23,5416,2013-1,"R$ 39.389,00",23 5416 2013-1
48,6213,2015-1,"R$ 53.094,00",48 6213 2015-1
23,8891,2022-1,"R$ 77.541,00",23 8891 2022-1
23,5416,2014-1,"R$ 41.228,00",23 5416 2014-1
48,8701,2022-1,"R$ 61.090,00",48 8701 2022-1
22,9452,2021-1,"R$ 251.722,00",22 9452 2021-1
56,8838,2021-1,"R$ 165.582,00",56 8838 2021-1
25,7696,2021-1,"R$ 164.315,00",25 7696 2021-1
26,9795,2022-1,"R$ 90.277,00",26 9795 2022-1
48,8023,2022-1,"R$ 55.932,00",48 8023 2022-1
22,7371,2016-1,"R$ 65.500,00",22 7371 2016-1
29,9460,2022-1,"R$ 157.445,00",29 9460 2022-1
7,6046,2014-1,"R$ 123.781,00",7 6046 2014-1
39,6928,2018-1,"R$ 157.552,00",39 6928 2018-1
23,5415,2019-1,"R$ 417.555,00",23 5415 2019-1
59,8068,2022-1,"R$ 100.461,00",59 8068 2022-1
29,5743,2012-1,"R$ 54.827,00",29 5743 2012-1
161,8571,2020-1,"R$ 101.746,00",161 8571 2020-1
161,8572,2022-1,"R$ 130.459,00",161 8572 2022-1
21,5361,2013-1,"R$ 34.953,00",21 5361 2013-1
22,5413,2011-1,"R$ 60.456,00",22 5413 2011-1
21,5244,2012-1,"R$ 32.119,00",21 5244 2012-1
6,9605,2022-1,"R$ 787.703,00",6 9605 2022-1
48,5671,2012-1,"R$ 43.892,00",48 5671 2012-1
13,8466,2020-1,"R$ 82.485,00",13 8466 2020-1
48,8023,2020-1,"R$ 47.654,00",48 8023 2020-1
29,7759,2020-1,"R$ 129.158,00",29 7759 2020-1
22,8006,2020-1,"R$ 80.082,00",22 8006 2020-1
59,2527,2003-1,"R$ 17.868,00",59 2527 2003-1
59,2380,1996-2,"R$ 19.925,00",59 2380 1996-2
33,6391,2016-1,"R$ 531.072,00",33 6391 2016-1
39,6929,2018-1,"R$ 161.019,00",39 6929 2018-1
39,8752,2019-1,"R$ 220.831,00",39 8752 2019-1
29,7759,2019-1,"R$ 125.410,00",29 7759 2019-1
6,8568,2020-1,"R$ 225.319,00",6 8568 2020-1
23,6232,2018-1,"R$ 53.318,00",23 6232 2018-1
25,6781,2018-1,"R$ 78.015,00",25 6781 2018-1
57,2290,2001-1,"R$ 55.451,00",57 2290 2001-1
26,6205,2019-1,"R$ 61.178,00",26 6205 2019-1
59,8644,2020-1,"R$ 117.835,00",59 8644 2020-1
59,7077,2016-1,"R$ 57.652,00",59 7077 2016-1
21,7097,2014-1,"R$ 98.672,00",21 7097 2014-1
26,8521,2019-1,"R$ 93.443,00",26 8521 2019-1
26,6434,2019-1,"R$ 68.617,00",26 6434 2019-1
59,2572,1992-1,"R$ 11.259,00",59 2572 1992-1
23,6099,2013-3,"R$ 107.123,00",23 6099 2013-3
21,7825,2020-1,"R$ 51.685,00",21 7825 2020-1
25,4973,2017-1,"R$ 80.441,00",25 4973 2017-1
29,7761,2019-1,"R$ 116.736,00",29 7761 2019-1
56,7124,2015-1,"R$ 99.581,00",56 7124 2015-1
59,7817,2018-1,"R$ 51.477,00",59 7817 2018-1
59,8326,2021-1,"R$ 62.045,00",59 8326 2021-1
43,8020,2020-1,"R$ 94.023,00",43 8020 2020-1
48,9592,2019-1,"R$ 75.844,00",48 9592 2019-1
59,8185,2021-1,"R$ 93.769,00",59 8185 2021-1
29,7760,2018-3,"R$ 147.632,00",29 7760 2018-3
59,6941,2019-1,"R$ 87.652,00",59 6941 2019-1
59,2553,2001-2,"R$ 13.591,00",59 2553 2001-2
59,2368,2014-1,"R$ 47.942,00",59 2368 2014-1
43,8551,2019-3,"R$ 182.708,00",43 8551 2019-3
59,8326,2020-1,"R$ 58.593,00",59 8326 2020-1
23,4849,2017-1,"R$ 48.788,00",23 4849 2017-1
48,8797,2020-1,"R$ 64.390,00",48 8797 2020-1
59,7327,2017-1,"R$ 61.065,00",59 7327 2017-1
59,8069,2019-1,"R$ 87.806,00",59 8069 2019-1
23,8747,2022-3,"R$ 334.643,00",23 8747 2022-3
29,7760,2019-3,"R$ 161.700,00",29 7760 2019-3
29,9560,2018-1,"R$ 81.755,00",29 9560 2018-1
48,7991,2019-1,"R$ 83.205,00",48 7991 2019-1
26,6436,2015-1,"R$ 53.624,00",26 6436 2015-1
21,7540,2018-1,"R$ 44.744,00",21 7540 2018-1
25,7692,2019-1,"R$ 119.205,00",25 7692 2019-1
25,7152,2017-1,"R$ 90.544,00",25 7152 2017-1
23,998,2006-1,"R$ 17.769,00",23 998 2006-1
48,8789,2021-1,"R$ 56.227,00",48 8789 2021-1
59,8186,2019-1,"R$ 90.342,00",59 8186 2019-1
43,7670,2020-1,"R$ 106.293,00",43 7670 2020-1
23,8826,2020-1,"R$ 72.769,00",23 8826 2020-1
59,4008,2018-1,"R$ 58.011,00",59 4008 2018-1
59,2380,1996-1,"R$ 34.388,00",59 2380 1996-1
7,8570,2019-1,"R$ 199.339,00",7 8570 2019-1
156,4893,2012-1,"R$ 62.188,00",156 4893 2012-1
23,8827,2020-1,"R$ 82.170,00",23 8827 2020-1
44,4718,2013-1,"R$ 23.514,00",44 4718 2013-1
43,7628,2020-1,"R$ 74.245,00",43 7628 2020-1
29,9560,2019-1,"R$ 87.027,00",29 9560 2019-1
23,6350,2019-1,"R$ 66.730,00",23 6350 2019-1
59,8997,2021-1,"R$ 129.608,00",59 8997 2021-1
59,8067,2020-1,"R$ 72.563,00",59 8067 2020-1
31,4977,2018-1,"R$ 87.299,00",31 4977 2018-1
